0.52,7.66,11.32,5.45
0.48,7.19,15.58,9.81
0.52,5.36,11.75,8.54
0.48,5.45,15.47,12.91
0.26,8.94,12.78,5.87
0.64,8.37,12.11,5.00
0.52,21.04,28.20,9.49
0.52,10.75,17.97,9.99
0.42,12.93,26.97,16.93
0.44,27.03,37.65,15.33
0.60,14.22,22.35,8.76
0.42,9.40,19.56,12.60
0.38,9.49,19.83,9.94
0.54,32.36,54.44,26.28
0.46,9.68,28.17,20.70
0.48,9.20,19.35,11.08
0.34,13.74,19.77,9.31
1.20,9.60,15.76,8.66
0.26,5.72,12.09,7.26
0.46,15.95,30.20,18.39
0.54,37.75,53.84,15.83
0.62,5.83,10.28,5.70
0.46,9.18,17.33,10.35
0.52,15.47,46.69,27.72
0.52,16.49,51.31,35.78
0.56,4.80,11.58,6.48
0.62,8.47,12.91,5.68
0.54,7.05,15.19,10.80
0.42,10.77,24.29,17.27
